Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Total nacidos fuera del país,37.628
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Argentina,330
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Bolivia (Estado Plurinacional de),20.614
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Colombia,3.150
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Haití,128
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Perú,7.453
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Venezuela (República Bolivariana de),3.728
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Otros países de América del Sur,1.549
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Otros países de América Central y El Caribe,477
1,Tarapacá,11,Iquique,1107,Alto Hospicio,América del Norte,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Europa,64
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Asia,95
1,Tarapacá,11,Iquique,1107,Alto Hospicio,África,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Oceanía,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,País de nacimiento no declarado,7
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Total nacidos fuera del país,3.695
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Argentina,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Bolivia (Estado Plurinacional de),2.618
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Colombia,165
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Haití,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Perú,407
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Venezuela (República Bolivariana de),355
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Otros países de América del Sur,89
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Otros países de América Central y El Caribe,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,América del Norte,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Europa,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Asia,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,África,0
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,País de nacimiento no declarado,1
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Total nacidos fuera del país,245
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Argentina,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Bolivia (Estado Plurinacional de),231
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Colombia,*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Haití,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Perú,*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Venezuela (República Bolivariana de),*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Otros países de América del Sur,*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Otros países de América Central y El Caribe,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,América del Norte,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Europa,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Asia,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,África,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,País de nacimiento no declarado,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Total nacidos fuera del país,338
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Argentina,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Bolivia (Estado Plurinacional de),244
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Colombia,*
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Haití,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Perú,*
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Venezuela (República Bolivariana de),81
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Otros países de América del Sur,*
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Otros países de América Central y El Caribe,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,América del Norte,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Europa,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Asia,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,África,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,País de nacimiento no declarado,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,Total nacidos fuera del país,688
1,Tarapacá,14,Del Tamarugal,1404,Huara,Argentina,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,Bolivia (Estado Plurinacional de),533
1,Tarapacá,14,Del Tamarugal,1404,Huara,Colombia,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,Haití,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,Perú,99
1,Tarapacá,14,Del Tamarugal,1404,Huara,Venezuela (República Bolivariana de),*
1,Tarapacá,14,Del Tamarugal,1404,Huara,Otros países de América del Sur,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,Otros países de América Central y El Caribe,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,América del Norte,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,Europa,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,Asia,*
1,Tarapacá,14,Del Tamarugal,1404,Huara,África,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,País de nacimiento no declarado,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,Total nacidos fuera del país,1.686
1,Tarapacá,14,Del Tamarugal,1405,Pica,Argentina,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Bolivia (Estado Plurinacional de),1.466
1,Tarapacá,14,Del Tamarugal,1405,Pica,Colombia,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Haití,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Perú,55
1,Tarapacá,14,Del Tamarugal,1405,Pica,Venezuela (República Bolivariana de),87
1,Tarapacá,14,Del Tamarugal,1405,Pica,Otros países de América del Sur,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Otros países de América Central y El Caribe,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,América del Norte,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Europa,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Asia,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,África,*
1,Tarapacá,14,Del Tamarugal,1405,Pica,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,País de nacimiento no declarado,0
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Total nacidos fuera del país,76.793
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Argentina,1.239
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Bolivia (Estado Plurinacional de),19.940
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Colombia,29.254
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Haití,*
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Perú,10.189
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Venezuela (República Bolivariana de),11.528
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Otros países de América del Sur,3.192
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Otros países de América Central y El Caribe,610
2,Antofagasta,21,Antofagasta,2101,Antofagasta,América del Norte,108
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Europa,370
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Asia,238
2,Antofagasta,21,Antofagasta,2101,Antofagasta,África,*
2,Antofagasta,21,Antofagasta,2101,Antofagasta,Oceanía,*
2,Antofagasta,21,Antofagasta,2101,Antofagasta,País de nacimiento no declarado,39
2,Antofagasta,21,Antofagasta,2102,Mejillones,Total nacidos fuera del país,4.202
2,Antofagasta,21,Antofagasta,2102,Mejillones,Argentina,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,Bolivia (Estado Plurinacional de),2.890
2,Antofagasta,21,Antofagasta,2102,Mejillones,Colombia,822
2,Antofagasta,21,Antofagasta,2102,Mejillones,Haití,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,Perú,171
2,Antofagasta,21,Antofagasta,2102,Mejillones,Venezuela (República Bolivariana de),169
2,Antofagasta,21,Antofagasta,2102,Mejillones,Otros países de América del Sur,66
2,Antofagasta,21,Antofagasta,2102,Mejillones,Otros países de América Central y El Caribe,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,América del Norte,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,Europa,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,Asia,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,África,*
2,Antofagasta,21,Antofagasta,2102,Mejillones,Oceanía,0
2,Antofagasta,21,Antofagasta,2102,Mejillones,País de nacimiento no declarado,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Total nacidos fuera del país,468
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Argentina,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Bolivia (Estado Plurinacional de),350
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Colombia,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Haití,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Perú,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Venezuela (República Bolivariana de),*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Otros países de América del Sur,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Otros países de América Central y El Caribe,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,América del Norte,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Europa,*
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Asia,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,África,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,Oceanía,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,País de nacimiento no declarado,0
2,Antofagasta,21,Antofagasta,2104,Taltal,Total nacidos fuera del país,948
2,Antofagasta,21,Antofagasta,2104,Taltal,Argentina,*
2,Antofagasta,21,Antofagasta,2104,Taltal,Bolivia (Estado Plurinacional de),206
2,Antofagasta,21,Antofagasta,2104,Taltal,Colombia,395
2,Antofagasta,21,Antofagasta,2104,Taltal,Haití,*
2,Antofagasta,21,Antofagasta,2104,Taltal,Perú,140
2,Antofagasta,21,Antofagasta,2104,Taltal,Venezuela (República Bolivariana de),127
2,Antofagasta,21,Antofagasta,2104,Taltal,Otros países de América del Sur,63
2,Antofagasta,21,Antofagasta,2104,Taltal,Otros países de América Central y El Caribe,*
2,Antofagasta,21,Antofagasta,2104,Taltal,América del Norte,0
2,Antofagasta,21,Antofagasta,2104,Taltal,Europa,*
2,Antofagasta,21,Antofagasta,2104,Taltal,Asia,0
2,Antofagasta,21,Antofagasta,2104,Taltal,África,0
2,Antofagasta,21,Antofagasta,2104,Taltal,Oceanía,0
2,Antofagasta,21,Antofagasta,2104,Taltal,País de nacimiento no declarado,0
2,Antofagasta,22,El Loa,2201,Calama,Total nacidos fuera del país,35.221
2,Antofagasta,22,El Loa,2201,Calama,Argentina,568
2,Antofagasta,22,El Loa,2201,Calama,Bolivia (Estado Plurinacional de),22.577
2,Antofagasta,22,El Loa,2201,Calama,Colombia,4.083
2,Antofagasta,22,El Loa,2201,Calama,Haití,*
2,Antofagasta,22,El Loa,2201,Calama,Perú,2.933
2,Antofagasta,22,El Loa,2201,Calama,Venezuela (República Bolivariana de),3.807
2,Antofagasta,22,El Loa,2201,Calama,Otros países de América del Sur,755
2,Antofagasta,22,El Loa,2201,Calama,Otros países de América Central y El Caribe,229
2,Antofagasta,22,El Loa,2201,Calama,América del Norte,*
2,Antofagasta,22,El Loa,2201,Calama,Europa,105
2,Antofagasta,22,El Loa,2201,Calama,Asia,81
2,Antofagasta,22,El Loa,2201,Calama,África,*
2,Antofagasta,22,El Loa,2201,Calama,Oceanía,*
2,Antofagasta,22,El Loa,2201,Calama,País de nacimiento no declarado,36
2,Antofagasta,22,El Loa,2202,Ollagüe,Total nacidos fuera del país,62
2,Antofagasta,22,El Loa,2202,Ollagüe,Argentina,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Bolivia (Estado Plurinacional de),59
2,Antofagasta,22,El Loa,2202,Ollagüe,Colombia,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Haití,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Perú,*
2,Antofagasta,22,El Loa,2202,Ollagüe,Venezuela (República Bolivariana de),*
2,Antofagasta,22,El Loa,2202,Ollagüe,Otros países de América del Sur,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Otros países de América Central y El Caribe,0
2,Antofagasta,22,El Loa,2202,Ollagüe,América del Norte,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Europa,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Asia,0
2,Antofagasta,22,El Loa,2202,Ollagüe,África,0
2,Antofagasta,22,El Loa,2202,Ollagüe,Oceanía,0
2,Antofagasta,22,El Loa,2202,Ollagüe,País de nacimiento no declarado,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Total nacidos fuera del país,2.740
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Argentina,92
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Bolivia (Estado Plurinacional de),2.049
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Colombia,106
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Haití,*
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Perú,261
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Venezuela (República Bolivariana de),82
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Otros países de América del Sur,79
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Otros países de América Central y El Caribe,*
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,América del Norte,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Europa,*
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Asia,*
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,África,*
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,Oceanía,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,País de nacimiento no declarado,0
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Total nacidos fuera del país,2.802
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Argentina,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Bolivia (Estado Plurinacional de),1.194
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Colombia,806
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Haití,0
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Perú,310
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Venezuela (República Bolivariana de),333
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Otros países de América del Sur,79
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Otros países de América Central y El Caribe,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,América del Norte,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Europa,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Asia,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,África,*
2,Antofagasta,23,Tocopilla,2301,Tocopilla,Oceanía,0
2,Antofagasta,23,Tocopilla,2301,Tocopilla,País de nacimiento no declarado,9
2,Antofagasta,23,Tocopilla,2302,María Elena,Total nacidos fuera del país,770
2,Antofagasta,23,Tocopilla,2302,María Elena,Argentina,*
2,Antofagasta,23,Tocopilla,2302,María Elena,Bolivia (Estado Plurinacional de),548
2,Antofagasta,23,Tocopilla,2302,María Elena,Colombia,108
2,Antofagasta,23,Tocopilla,2302,María Elena,Haití,0
2,Antofagasta,23,Tocopilla,2302,María Elena,Perú,54
2,Antofagasta,23,Tocopilla,2302,María Elena,Venezuela (República Bolivariana de),*
2,Antofagasta,23,Tocopilla,2302,María Elena,Otros países de América del Sur,*
2,Antofagasta,23,Tocopilla,2302,María Elena,Otros países de América Central y El Caribe,*
2,Antofagasta,23,Tocopilla,2302,María Elena,América del Norte,0
2,Antofagasta,23,Tocopilla,2302,María Elena,Europa,*
2,Antofagasta,23,Tocopilla,2302,María Elena,Asia,0
2,Antofagasta,23,Tocopilla,2302,María Elena,África,0
2,Antofagasta,23,Tocopilla,2302,María Elena,Oceanía,0
2,Antofagasta,23,Tocopilla,2302,María Elena,País de nacimiento no declarado,1
3,Atacama,31,Copiapó,3101,Copiapó,Total nacidos fuera del país,19.207
3,Atacama,31,Copiapó,3101,Copiapó,Argentina,364
3,Atacama,31,Copiapó,3101,Copiapó,Bolivia (Estado Plurinacional de),7.278
3,Atacama,31,Copiapó,3101,Copiapó,Colombia,3.338
3,Atacama,31,Copiapó,3101,Copiapó,Haití,71
3,Atacama,31,Copiapó,3101,Copiapó,Perú,1.869
3,Atacama,31,Copiapó,3101,Copiapó,Venezuela (República Bolivariana de),4.766
3,Atacama,31,Copiapó,3101,Copiapó,Otros países de América del Sur,896
3,Atacama,31,Copiapó,3101,Copiapó,Otros países de América Central y El Caribe,304
3,Atacama,31,Copiapó,3101,Copiapó,América del Norte,*
3,Atacama,31,Copiapó,3101,Copiapó,Europa,137
3,Atacama,31,Copiapó,3101,Copiapó,Asia,142
3,Atacama,31,Copiapó,3101,Copiapó,África,*
3,Atacama,31,Copiapó,3101,Copiapó,Oceanía,0
3,Atacama,31,Copiapó,3101,Copiapó,País de nacimiento no declarado,14
3,Atacama,31,Copiapó,3102,Caldera,Total nacidos fuera del país,1.114
3,Atacama,31,Copiapó,3102,Caldera,Argentina,*
3,Atacama,31,Copiapó,3102,Caldera,Bolivia (Estado Plurinacional de),128
3,Atacama,31,Copiapó,3102,Caldera,Colombia,227
3,Atacama,31,Copiapó,3102,Caldera,Haití,*
3,Atacama,31,Copiapó,3102,Caldera,Perú,133
3,Atacama,31,Copiapó,3102,Caldera,Venezuela (República Bolivariana de),365
3,Atacama,31,Copiapó,3102,Caldera,Otros países de América del Sur,108
3,Atacama,31,Copiapó,3102,Caldera,Otros países de América Central y El Caribe,67
3,Atacama,31,Copiapó,3102,Caldera,América del Norte,*
3,Atacama,31,Copiapó,3102,Caldera,Europa,*
3,Atacama,31,Copiapó,3102,Caldera,Asia,*
3,Atacama,31,Copiapó,3102,Caldera,África,*
3,Atacama,31,Copiapó,3102,Caldera,Oceanía,*
3,Atacama,31,Copiapó,3102,Caldera,País de nacimiento no declarado,0
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Total nacidos fuera del país,682
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Argentina,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Bolivia (Estado Plurinacional de),388
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Colombia,113
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Haití,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Perú,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Venezuela (República Bolivariana de),56
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Otros países de América del Sur,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Otros países de América Central y El Caribe,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,América del Norte,0
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Europa,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Asia,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,África,*
3,Atacama,31,Copiapó,3103,Tierra Amarilla,Oceanía,0
3,Atacama,31,Copiapó,3103,Tierra Amarilla,País de nacimiento no declarado,0
3,Atacama,32,Chañaral,3201,Chañaral,Total nacidos fuera del país,463
3,Atacama,32,Chañaral,3201,Chañaral,Argentina,*
3,Atacama,32,Chañaral,3201,Chañaral,Bolivia (Estado Plurinacional de),160
3,Atacama,32,Chañaral,3201,Chañaral,Colombia,106
3,Atacama,32,Chañaral,3201,Chañaral,Haití,0
3,Atacama,32,Chañaral,3201,Chañaral,Perú,63
3,Atacama,32,Chañaral,3201,Chañaral,Venezuela (República Bolivariana de),100
3,Atacama,32,Chañaral,3201,Chañaral,Otros países de América del Sur,*
3,Atacama,32,Chañaral,3201,Chañaral,Otros países de América Central y El Caribe,*
3,Atacama,32,Chañaral,3201,Chañaral,América del Norte,*
3,Atacama,32,Chañaral,3201,Chañaral,Europa,*
3,Atacama,32,Chañaral,3201,Chañaral,Asia,*
3,Atacama,32,Chañaral,3201,Chañaral,África,0
3,Atacama,32,Chañaral,3201,Chañaral,Oceanía,0
3,Atacama,32,Chañaral,3201,Chañaral,País de nacimiento no declarado,0
3,Atacama,32,Chañaral,3202,Diego de Almagro,Total nacidos fuera del país,735
3,Atacama,32,Chañaral,3202,Diego de Almagro,Argentina,*
3,Atacama,32,Chañaral,3202,Diego de Almagro,Bolivia (Estado Plurinacional de),77
